|                                                                          |   ncount |          mae |          rmse |               rsq |
| ('WN_Adsorption_100_shift', 'Unweighted', 'Testing', 'Force')            |      294 |  0.479894    |   0.989623    |      -0.710636    |
| ('WN_Adsorption_100_shift', 'weighted', 'Training', 'Energy')            |        1 |  0.00525629  |   0.00525629  |    -inf           |
| ('WN_Adsorption_100_shift', 'weighted', 'Training', 'Force')             |      966 |  0.275421    |   0.623295    |      -0.454338    |
| ('WN_Adsorption_100_shift', 'weighted', 'Testing', 'Energy')             |        1 |  0.00851509  |   0.00851509  |    -inf           |
| ('WN_Adsorption_100_shift', 'weighted', 'Testing', 'Force')              |      294 |  0.479894    |   0.989623    |      -0.710636    |
| ('WN_Adsorption_110_shift', 'Unweighted', 'Training', 'Energy')          |        1 | 37.8794      |  37.8794      |    -inf           |
| ('WN_Adsorption_110_shift', 'Unweighted', 'Training', 'Force')           |     1086 | 16.7356      |  31.6219      |       0.00164724  |
| ('WN_Adsorption_110_shift', 'Unweighted', 'Testing', 'Energy')           |        1 |  1.31615     |   1.31615     |    -inf           |
| ('WN_Adsorption_110_shift', 'Unweighted', 'Testing', 'Force')            |      219 |  0.310683    |   0.510709    |      -0.910603    |
| ('WN_Adsorption_110_shift', 'weighted', 'Training', 'Energy')            |        1 |  0.378794    |   0.378794    |    -inf           |
| ('WN_Adsorption_110_shift', 'weighted', 'Training', 'Force')             |     1086 | 16.7356      |  31.6219      |       0.00164724  |
| ('WN_Adsorption_110_shift', 'weighted', 'Testing', 'Energy')             |        1 |  0.0131615   |   0.0131615   |    -inf           |
| ('WN_Adsorption_110_shift', 'weighted', 'Testing', 'Force')              |      219 |  0.310683    |   0.510709    |      -0.910603    |
| ('WN_BulkStructures_shift', 'Unweighted', 'Training', 'Energy')          |        1 |  9.35435     |   9.35435     |    -inf           |
| ('WN_BulkStructures_shift', 'Unweighted', 'Training', 'Force')           |       18 |  0.154551    |   0.327839    |     -61.037       |
| ('WN_BulkStructures_shift', 'Unweighted', 'Testing', 'Energy')           |        1 |  8.96955     |   8.96955     |    -inf           |
| ('WN_BulkStructures_shift', 'Unweighted', 'Testing', 'Force')            |        6 |  7.94702e-07 |   1.00212e-06 |   -1508.71        |
| ('WN_BulkStructures_shift', 'weighted', 'Training', 'Energy')            |        1 |  0.0935435   |   0.0935435   |    -inf           |
| ('WN_BulkStructures_shift', 'weighted', 'Training', 'Force')             |       18 |  0.154551    |   0.327839    |     -61.037       |
| ('WN_BulkStructures_shift', 'weighted', 'Testing', 'Energy')             |        1 |  0.0896955   |   0.0896955   |    -inf           |
| ('WN_BulkStructures_shift', 'weighted', 'Testing', 'Force')              |        6 |  7.94702e-07 |   1.00212e-06 |   -1508.71        |
| ('WN_DFTMD_3000K', 'Unweighted', 'Training', 'Energy')                   |        6 | 38.9905      |  79.5991      |      -0.114257    |
| ('WN_DFTMD_3000K', 'Unweighted', 'Training', 'Force')                    |      972 | 17.6841      |  61.2118      |       0.027943    |
| ('WN_DFTMD_3000K', 'Unweighted', 'Testing', 'Energy')                    |        3 |  8.67737     |   8.83431     |     -21.8763      |
| ('WN_DFTMD_3000K', 'Unweighted', 'Testing', 'Force')                     |      486 |  3.64845     |   4.66908     |      -1.66246     |
| ('WN_DFTMD_3000K', 'weighted', 'Training', 'Energy')                     |        6 |  0.389905    |   0.795991    |      -0.114257    |
| ('WN_DFTMD_3000K', 'weighted', 'Training', 'Force')                      |      972 | 17.6841      |  61.2118      |       0.027943    |
| ('WN_DFTMD_3000K', 'weighted', 'Testing', 'Energy')                      |        3 |  0.0867737   |   0.0883431   |     -21.8763      |
| ('WN_DFTMD_3000K', 'weighted', 'Testing', 'Force')                       |      486 |  3.64845     |   4.66908     |      -1.66246     |
| ('WN_DFTMD_5000K', 'Unweighted', 'Training', 'Energy')                   |       10 |  9.35642     |   9.37385     |     -97.7419      |
| ('WN_DFTMD_5000K', 'Unweighted', 'Training', 'Force')                    |     1620 |  3.92961     |   4.97323     |      -1.41511     |
| ('WN_DFTMD_5000K', 'Unweighted', 'Testing', 'Energy')                    |        5 |  9.95166     |   9.95388     |    -260.883       |
| ('WN_DFTMD_5000K', 'Unweighted', 'Testing', 'Force')                     |      810 |  4.05851     |   5.24413     |      -2.48524     |
| ('WN_DFTMD_5000K', 'weighted', 'Training', 'Energy')                     |       10 |  0.0935642   |   0.0937385   |     -97.7419      |
| ('WN_DFTMD_5000K', 'weighted', 'Training', 'Force')                      |     1620 |  3.92961     |   4.97323     |      -1.41511     |
| ('WN_DFTMD_5000K', 'weighted', 'Testing', 'Energy')                      |        5 |  0.0995166   |   0.0995388   |    -260.883       |
| ('WN_DFTMD_5000K', 'weighted', 'Testing', 'Force')                       |      810 |  4.05851     |   5.24413     |      -2.48524     |
| ('WN_Defect_Oct-Vac_shift', 'Unweighted', 'Training', 'Energy')          |        8 |  1.64407     |   2.08132     |      -1.59417     |
| ('WN_Defect_Oct-Vac_shift', 'Unweighted', 'Training', 'Force')           |     3072 |  0.6208      |   1.15177     |       0.0988415   |
